"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,13.8979133858268,0.338163833300859,14.481,1.19523350619646,1.2648528417038,0.298154232097336,18.2707468691977,14,14.4449585491593
"2",2,13.7300458015267,0.279259292922285,14.183,6.64009510938548,7.05154621533333,1.65634911924961,101.835969016385,14,14.4416509381938
"3",3,14.0429043478261,0.357568925750318,14.727,2.76078191355457,3.82146356037837,0.722393921717687,58.1689572745862,15,15.2216438428702
"4",4,13.2859094827586,0.64939995980018,14.777,2.67339686412042,3.92419720048555,0.71487399581502,58.3577433202362,15,14.8712565497512
"5",5,13.4852469135802,1.00948992763096,14.692,3.35506957319597,4.54220926226938,0.838858826846953,68.4197751247799,15,15.0631050165654
"6",6,12.7297452830189,0.301482484344066,13.031,2.99345859455553,3.07746957149945,0.747258367471669,41.4618282382987,13,13.4727012810388
"7",7,11.8624361702128,0.180359471314101,12.638,0.649565378576685,0.856096741353376,0.167089603296381,10.9077406296939,12,12.7412476917623
"17",8,0,0,0,0,0,0,0,0,0
"18",9,0,0,0,0,0,0,0,0,0
"19",10,0,0,0,0,0,0,0,0,0
"20",11,0,0,0,0,0,0,0,0,0
"21",12,0,0,0,0,0,0,0,0,0
"22",13,0,0,0,0,0,0,0,0,0
"23",14,0,0,0,0,0,0,0,0,0
"24",15,0,0,0,0,0,0,0,0,0
"25",16,0,0,0,0,0,0,0,0,0
"26",17,0,0,0,0,0,0,0,0,0
"27",18,0,0,0,0,0,0,0,0,0
"28",19,0,0,0,0,0,0,0,0,0
"29",20,0,0,0,0,0,0,0,0,0
"30",21,0,0,0,0,0,0,0,0,0
"8",22,6.21816853932584,0.678136085765358,9.251,0.375676108727001,0.966425295722506,0.130961155827285,7.55064493470338,7,7.81296285198998
"9",23,6.04274561403509,0.509782882200927,8.786,3.93478874890242,8.07017543859649,1.24398662673736,57.386992103489,6,7.11099684760625
"10",24,4.8807850877193,0.430236183826466,6.243,5.33333333333333,8,1.37637514361448,43.0877192982456,5,5.3859649122807
"11",25,4.97337556561086,0.609799541682847,7.456,3.59777268597321,5.88968713777837,0.944144343898254,32.6864311062677,5,5.54977375565611
"12",26,8.83546696035242,1.88239058432533,11.899,4.50657900893264,7.5777291483534,1.1585208465676,71.4876959083648,9,9.43392070484581
"13",27,9.1966338028169,1.27033040835806,10.682,2.19785113426097,4.98023714465517,0.603567288223455,47.6162110098134,10,9.56103286384976
"14",28,10.2223461538462,0.125707578867049,10.482,0.237446495056117,0.237446495056117,0.0593616237640291,2.49318819808922,10,10.5
"15",29,7.22288888888889,0.0535197263736569,7.271,0.0790429695680978,0.0790429695680978,0.0197607423920245,0.592822271760734,7,7.5
"16",30,7.265,0,7.265,0.00862985818815529,0.00862985818815529,0.00215746454703882,0.0647239364111647,7,7.5
"31",31,0,0,0,0,0,0,0,0,0
"32",32,0,0,0,0,0,0,0,0,0
"33",33,0,0,0,0,0,0,0,0,0
"34",34,0,0,0,0,0,0,0,0,0
"35",35,0,0,0,0,0,0,0,0,0
"36",36,0,0,0,0,0,0,0,0,0
"37",37,0,0,0,0,0,0,0,0,0
"38",38,0,0,0,0,0,0,0,0,0
"39",39,0,0,0,0,0,0,0,0,0
"40",40,0,0,0,0,0,0,0,0,0
